"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Diamond Princess||NA",2020-01-22,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-23,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-24,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-25,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-26,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-27,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-28,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-29,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-30,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-01-31,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-01,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-02,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-03,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-04,"Diamond Princess","",NA,0,0,0,0,0,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-05,"Diamond Princess","",NA,0,0,0,10,31,0,10,31,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-06,"Diamond Princess","",NA,0,0,0,20,102,0,10,71,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-07,"Diamond Princess","",NA,0,0,0,61,273,0,41,171,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-08,"Diamond Princess","",NA,0,0,0,64,279,0,3,6,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-02-09,"Diamond Princess","",NA,0,0,0,70,336,0,6,57,3711,NA,NA,NA,NA,NA,NA
