"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Italy|NA|NA",2020-02-24,"Italy",NA,NA,NA,NA,7,229,4324,7,229,4324,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-02-25,"Italy",NA,NA,NA,NA,10,322,8623,3,93,4299,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-02-26,"Italy",NA,NA,NA,NA,12,400,9587,2,78,964,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-02-27,"Italy",NA,NA,NA,NA,17,650,12014,5,250,2427,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-02-28,"Italy",NA,NA,NA,NA,21,888,15695,4,238,3681,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-02-29,"Italy",NA,NA,NA,NA,29,1128,18661,8,240,2966,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-01,"Italy",NA,NA,NA,NA,34,1694,21127,5,566,2466,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-02,"Italy",NA,NA,NA,NA,52,2036,23345,18,342,2218,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-03,"Italy",NA,NA,NA,NA,79,2502,25856,27,466,2511,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-04,"Italy",NA,NA,NA,NA,107,3089,29837,28,587,3981,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-05,"Italy",NA,NA,NA,NA,148,3858,32362,41,769,2525,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-06,"Italy",NA,NA,NA,NA,197,4636,36359,49,778,3997,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-07,"Italy",NA,NA,NA,NA,233,5883,42062,36,1247,5703,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-08,"Italy",NA,NA,NA,NA,366,7375,49937,133,1492,7875,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-09,"Italy",NA,NA,NA,NA,463,9172,53826,97,1797,3889,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-10,"Italy",NA,NA,NA,NA,631,10149,60761,168,977,6935,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-11,"Italy",NA,NA,NA,NA,827,12462,73154,196,2313,12393,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-12,"Italy",NA,NA,NA,NA,1016,15113,86011,189,2651,12857,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-13,"Italy",NA,NA,NA,NA,1266,17660,97488,250,2547,11477,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-14,"Italy",NA,NA,NA,NA,1441,21157,109170,175,3497,11682,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-15,"Italy",NA,NA,NA,NA,1809,24747,124899,368,3590,15729,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-16,"Italy",NA,NA,NA,NA,2158,27980,137962,349,3233,13063,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-17,"Italy",NA,NA,NA,NA,2503,31506,148657,345,3526,10695,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-18,"Italy",NA,NA,NA,NA,2978,35713,165541,475,4207,16884,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-19,"Italy",NA,NA,NA,NA,3405,41035,182777,427,5322,17236,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-20,"Italy",NA,NA,NA,NA,4032,47021,206886,627,5986,24109,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-21,"Italy",NA,NA,NA,NA,4825,53578,233222,793,6557,26336,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-22,"Italy",NA,NA,NA,NA,5476,59138,258402,651,5560,25180,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-23,"Italy",NA,NA,NA,NA,6077,63927,275468,601,4789,17066,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-24,"Italy",NA,NA,NA,NA,6820,69176,296964,743,5249,21496,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-25,"Italy",NA,NA,NA,NA,7503,74386,324445,683,5210,27481,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-26,"Italy",NA,NA,NA,NA,8165,80539,361060,662,6153,36615,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
"Italy|NA|NA",2020-03-27,"Italy",NA,NA,NA,NA,9134,86498,394079,969,5959,33019,60483973,0.134,0.641,0.226,45.2,196.75,0.0105
