"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Italy|Abruzzo|NA",2020-02-24,"Italy","Abruzzo",NA,42.35122196,13.39843823,0,0,5,0,0,5,1315196,0.126,0.639,0.236,45.9,120.69,0.0112
"Italy|Basilicata|NA",2020-02-24,"Italy","Basilicata",NA,40.63947052,15.80514834,0,0,0,0,0,0,567118,0.121,0.653,0.226,45.5,57.38,0.0111
"Italy|Calabria|NA",2020-02-24,"Italy","Calabria",NA,38.90597598,16.59440194,0,0,1,0,0,1,1956687,0.134,0.654,0.212,44.2,128.7,0.0101
"Italy|Campania|NA",2020-02-24,"Italy","Campania",NA,40.83956555,14.25084984,0,0,10,0,0,10,5826860,0.147,0.668,0.185,42.3,421.83,0.0092
"Italy|Emilia Romagna|NA",2020-02-24,"Italy","Emilia Romagna",NA,44.49436681,11.3417208,0,18,148,0,18,148,4452629,0.132,0.629,0.238,46.1,193.39,0.0112
"Italy|Friuli Venezia Giulia|NA",2020-02-24,"Italy","Friuli Venezia Giulia",NA,45.6494354,13.76813649,0,0,58,0,0,58,1215538,0.122,0.619,0.259,47.3,155.04,0.0119
"Italy|Lazio|NA",2020-02-24,"Italy","Lazio",NA,41.89277044,12.48366722,0,3,124,0,3,124,5896693,0.135,0.651,0.214,44.8,319.34,0.0097
"Italy|Liguria|NA",2020-02-24,"Italy","Liguria",NA,44.41149315,8.9326992,0,0,1,0,0,1,1556981,0.113,0.603,0.284,48.8,290,0.0143
"Italy|Lombardia|NA",2020-02-24,"Italy","Lombardia",NA,45.46679409,9.190347404,6,172,1463,6,172,1463,10036258,0.138,0.638,0.224,45,406.65,0.0099
"Italy|Marche|NA",2020-02-24,"Italy","Marche",NA,43.61675973,13.5188753,0,0,16,0,0,16,1531753,0.128,0.627,0.245,46.3,163.95,0.0112
"Italy|Molise|NA",2020-02-24,"Italy","Molise",NA,41.55774754,14.65916051,0,0,0,0,0,0,308493,0.115,0.643,0.242,46.5,70.32,0.0121
"Italy|P.A. Bolzano|NA",2020-02-24,"Italy","P.A. Bolzano",NA,46.49933453,11.35662422,0,0,1,0,0,1,527750,0.158,0.647,0.194,42.6,68.21,0.0083
"Italy|P.A. Trento|NA",2020-02-24,"Italy","P.A. Trento",NA,46.06893511,11.12123097,0,0,3,0,0,3,539898,0.145,0.638,0.217,44.4,84.55,0.0093
