"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"China|NA|NA",2020-01-22,"China",NA,NA,0.515151515151515,0.515151515151515,17,548,0,17,548,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-23,"China",NA,NA,0.545454545454545,0.545454545454545,18,643,0,1,95,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-24,"China",NA,NA,0.787878787878788,0.787878787878788,26,920,0,8,277,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-25,"China",NA,NA,1.27272727272727,1.27272727272727,42,1406,0,16,486,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-26,"China",NA,NA,1.6969696969697,1.6969696969697,56,2075,0,14,669,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-27,"China",NA,NA,2.48484848484848,2.48484848484848,82,2877,0,26,802,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-28,"China",NA,NA,3.96969696969697,3.96969696969697,131,5509,0,49,2632,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-29,"China",NA,NA,4.03030303030303,4.03030303030303,133,6087,0,2,578,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-30,"China",NA,NA,5.18181818181818,5.18181818181818,171,8141,0,38,2054,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-01-31,"China",NA,NA,6.45454545454545,6.45454545454545,213,9802,0,42,1661,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-02-01,"China",NA,NA,7.84848484848485,7.84848484848485,259,11891,0,46,2089,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"China|NA|NA",2020-02-02,"China",NA,NA,10.9393939393939,10.9393939393939,361,16630,0,102,4739,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"Philippines|NA|NA",2020-02-02,"Philippines",NA,NA,1,1,1,2,0,1,2,0,106651922,0.309630402017999,0.639143910299006,0.0512256876829946,24.1,357.688305329175,0.005839
"China|NA|NA",2020-02-03,"China",NA,NA,12.8787878787879,12.8787878787879,425,19716,0,64,3086,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"Philippines|NA|NA",2020-02-03,"Philippines",NA,NA,1,1,1,2,0,0,0,0,106651922,0.309630402017999,0.639143910299006,0.0512256876829946,24.1,357.688305329175,0.005839
"China|NA|NA",2020-02-04,"China",NA,NA,14.8787878787879,14.8787878787879,491,23707,0,66,3991,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"Philippines|NA|NA",2020-02-04,"Philippines",NA,NA,1,1,1,2,0,0,0,0,106651922,0.309630402017999,0.639143910299006,0.0512256876829946,24.1,357.688305329175,0.005839
"China|NA|NA",2020-02-05,"China",NA,NA,17.0606060606061,17.0606060606061,563,27440,0,72,3733,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"Philippines|NA|NA",2020-02-05,"Philippines",NA,NA,1,1,1,2,0,0,0,0,106651922,0.309630402017999,0.639143910299006,0.0512256876829946,24.1,357.688305329175,0.005839
